Year	Area	Item	Value
1992	Russian Federation	Apples	4254.8
1993	Russian Federation	Apples	3988.7
1994	Russian Federation	Apples	2765.9
1995	Russian Federation	Apples	2857.1
1996	Russian Federation	Apples	4235.3
1997	Russian Federation	Apples	3571.4
1998	Russian Federation	Apples	3204.8
1999	Russian Federation	Apples	2282.5
2000	Russian Federation	Apples	4116.9
2001	Russian Federation	Apples	3727.3
2002	Russian Federation	Apples	3728.5
2003	Russian Federation	Apples	4218.4
2004	Russian Federation	Apples	5027.3
2005	Russian Federation	Apples	4453.9
2006	Russian Federation	Apples	4349.9
2007	Russian Federation	Apples	6434.1
2008	Russian Federation	Apples	5626.1
2009	Russian Federation	Apples	7330.6
2010	Russian Federation	Apples	5166.7
2011	Russian Federation	Apples	6372.3
2012	Russian Federation	Apples	7708.8
2013	Russian Federation	Apples	8367
2014	Russian Federation	Apples	8874.3
2015	Russian Federation	Apples	8578.2
2016	Russian Federation	Apples	8605.1
2017	Russian Federation	Apples	8818.5
2018	Russian Federation	Apples	9132
2019	Russian Federation	Apples	9363.8
2020	Russian Federation	Apples	9613.4
2021	Russian Federation	Apples	9935.7
2022	Russian Federation	Apples	10113.8
2023	Russian Federation	Apples	10360.9
2024	Russian Federation	Apples	10608.1
